13843842,3537.85131835,10605.09472656,1920.90002441,223,295,341
13845943,3537.85156250,10605.09472656,1920.90002441,339,362,358
13848941,3537.85156250,10605.09472656,1920.90002441,306,312,349
13851977,3537.85131835,10605.09472656,1920.90002441,413,417,390
13854837,3537.84936523,10605.09472656,1921.30004882,448,420,373
13856912,3537.84814453,10605.09570312,1921.30004882,445,412,373
13859898,3537.84667968,10605.09667968,1921.30004882,401,396,395
13861971,3537.84570312,10605.09765625,1921.20007324,403,394,367
13864834,3537.84375000,10605.09960937,1921.09997558,499,422,470
13866916,3537.84277343,10605.10058593,1921.09997558,388,373,330
13869888,3537.84155273,10605.10253906,1921.20007324,302,332,331
13872930,3537.84082031,10605.10449218,1921.30004882,434,405,372
13875906,3537.84033203,10605.10644531,1921.30004882,436,425,403
13878898,3537.83984375,10605.10937500,1921.30004882,466,430,393
13880978,3537.83886718,10605.11132812,1921.59997558,365,381,380
13883841,3537.83935546,10605.11328125,1921.59997558,479,456,466
13885924,3537.83984375,10605.11523437,1921.70007324,330,342,532
13888923,3537.83984375,10605.11816406,1921.70007324,350,349,335
13891980,3537.83911132,10605.11914062,1921.59997558,308,353,354
13894881,3537.83813476,10605.12207031,1921.50000000,317,347,349
13896961,3537.83789062,10605.12304687,1921.50000000,541,502,631
13899835,3537.83813476,10605.12597656,1921.50000000,361,401,485
13901934,3537.83764648,10605.12792968,1921.59997558,310,282,211
13904047,3537.83715820,10605.12890625,1921.20007324,436,402,356
13906906,3537.83691406,10605.13085937,1920.90002441,322,327,311
13909911,3537.83544921,10605.13281250,1920.70007324,559,501,461
13912916,3537.83398437,10605.13281250,1920.70007324,728,561,457
13915860,3537.83276367,10605.13378906,1920.70007324,286,319,312
13918785,3537.83129882,10605.13378906,1920.80004882,454,441,423
13921888,3537.83032226,10605.13378906,1920.90002441,186,313,360
13923970,3537.82958984,10605.13378906,1920.90002441,414,389,364
13926895,3537.82934570,10605.13378906,1920.90002441,209,334,391
13929822,3537.82861328,10605.13476562,1920.70007324,313,337,337
13931904,3537.82788085,10605.13574218,1920.50000000,358,350,342
13934851,3537.82690429,10605.13671875,1920.20007324,456,419,389
13937865,3537.82568359,10605.13769531,1920.00000000,153,245,293
13940874,3537.82446289,10605.14062500,1919.90002441,408,381,370
13943827,3537.82250976,10605.14355468,1919.70007324,583,504,428
13945920,3537.82153320,10605.14453125,1919.70007324,227,305,325
13948952,3537.82080078,10605.14746093,1919.70007324,373,329,317
13951896,3537.81982421,10605.14843750,1920.30004882,204,328,387
13954922,3537.81884765,10605.15136718,1920.30004882,591,490,478
13957898,3537.81787109,10605.15429687,1920.30004882,719,555,447
13960882,3537.81689453,10605.15722656,1920.09997558,728,620,543
13963863,3537.81591796,10605.15917968,1919.80004882,625,513,426
13965980,3537.81542968,10605.16113281,1919.59997558,185,294,328
13968854,3537.81445312,10605.16308593,1919.30004882,488,420,361
13970933,3537.81396484,10605.16406250,1918.90002441,294,372,399
13973921,3537.81347656,10605.16699218,1918.50000000,398,365,365
13976768,3537.81298828,10605.16992187,1918.09997558,217,329,375
13978875,3537.81298828,10605.17187500,1917.80004882,287,316,323
13981838,3537.81372070,10605.17480468,1917.59997558,365,325,324
13984784,3537.81494140,10605.17675781,1917.30004882,167,276,329
13986855,3537.81542968,10605.17871093,1917.00000000,674,550,487
13989812,3537.81665039,10605.18066406,1916.40002441,466,404,346
13992853,3537.81787109,10605.18359375,1915.90002441,202,291,372
13994977,3537.81860351,10605.18457031,1915.80004882,731,599,519
13997896,3537.81958007,10605.18652343,1915.80004882,699,542,443
14000715,3537.82055664,10605.18847656,1915.59997558,651,567,527
14002798,3537.82080078,10605.19042968,1915.70007324,554,462,385
14005711,3537.82153320,10605.19335937,1915.59997558,196,274,312
14008650,3537.82250976,10605.19531250,1915.40002441,345,315,298
14010762,3537.82324218,10605.19726562,1915.09997558,637,499,395
14013681,3537.82397460,10605.19921875,1914.70007324,730,568,461
14016700,3537.82446289,10605.20019531,1914.20007324,209,288,371
14019637,3537.82421875,10605.20214843,1914.70007324,594,481,431
14021711,3537.82397460,10605.20214843,1915.09997558,379,391,369
14024613,3537.82373046,10605.20214843,1915.00000000,359,377,367
14026703,3537.82373046,10605.20214843,1914.90002441,302,342,348
14029594,3537.82373046,10605.20214843,1914.90002441,479,441,419
