time, latitude, longitude, altitude
8137,3541.24487304,10550.15820312,2407.19995117,845,752,828
11136,3541.24169921,10550.15332031,2405.90014648,237,310,302
13252,3541.24194335,10550.15234375,2406.00000000,797,595,551
16199,3541.24243164,10550.15234375,2406.00000000,819,683,657
19161,3541.24291992,10550.15234375,2406.00000000,547,621,597
22139,3541.24291992,10550.15234375,2406.00000000,582,654,645
24216,3541.24267578,10550.15234375,2406.10009765,265,286,280
27122,3541.24291992,10550.15136718,2406.10009765,371,402,388
30119,3541.24340820,10550.15136718,2406.10009765,522,497,477
32223,3541.24340820,10550.15136718,2406.19995117,751,645,572
35214,3541.24389648,10550.15136718,2406.19995117,609,550,493
38203,3541.24438476,10550.15136718,2406.19995117,414,401,401
41203,3541.24462890,10550.15136718,2406.19995117,506,473,449
44143,3541.24438476,10550.15136718,2406.19995117,685,441,417
46219,3541.24438476,10550.15136718,2406.19995117,407,506,472
49143,3541.24414062,10550.15136718,2406.19995117,438,459,467
52159,3541.24389648,10550.15136718,2406.10009765,320,328,328
55206,3541.24365234,10550.15136718,2406.10009765,396,400,394
58194,3541.24340820,10550.15136718,2406.10009765,397,399,393
60261,3541.24340820,10550.15136718,2406.10009765,400,400,393
63150,3541.24316406,10550.15136718,2406.10009765,400,401,393
66132,3541.24291992,10550.15136718,2406.10009765,403,402,396
69124,3541.24316406,10550.15136718,2406.19995117,403,403,394
72150,3541.24291992,10550.15136718,2406.19995117,400,400,393
75124,3541.24218750,10550.15136718,2406.19995117,393,398,391
77239,3541.24194335,10550.15136718,2406.19995117,399,403,393
80153,3541.24194335,10550.15136718,2406.19995117,396,399,389
83167,3541.24169921,10550.15136718,2406.30004882,404,406,395
86094,3541.24145507,10550.15136718,2406.30004882,416,413,399
88163,3541.24121093,10550.15234375,2406.30004882,409,408,396
91087,3541.24121093,10550.15234375,2406.30004882,405,408,396
94102,3541.24121093,10550.15136718,2406.30004882,403,404,392
96175,3541.24121093,10550.15136718,2406.30004882,407,405,394
99130,3541.24121093,10550.15136718,2406.30004882,408,408,396
102144,3541.24121093,10550.15136718,2406.30004882,418,416,399
105080,3541.24047851,10550.15136718,2406.40014648,397,403,388
107152,3541.23901367,10550.15039062,2406.40014648,404,406,394
110093,3541.23706054,10550.14941406,2406.50000000,405,405,393
112173,3541.23535156,10550.14843750,2406.60009765,378,387,373
115081,3541.23535156,10550.14746093,2406.50000000,382,390,374
117151,3541.23559570,10550.14746093,2406.50000000,399,404,393
120091,3541.23559570,10550.14746093,2406.50000000,412,413,398
122190,3541.23583984,10550.14746093,2406.50000000,403,405,392
125122,3541.23583984,10550.14746093,2406.50000000,428,420,401
128125,3541.23632812,10550.15039062,2406.60009765,385,394,385
131045,3541.23803710,10550.15625000,2406.50000000,399,403,391
133123,3541.23950195,10550.16308593,2406.30004882,389,387,376
136032,3541.24194335,10550.17285156,2405.69995117,415,412,398
138131,3541.24291992,10550.17871093,2405.10009765,412,412,398
141061,3541.24316406,10550.18847656,2404.30004882,411,413,400
143150,3541.24365234,10550.19335937,2403.60009765,423,420,403
146040,3541.24340820,10550.20312500,2402.30004882,413,409,403
148156,3541.24316406,10550.20898437,2401.40014648,406,404,392
151071,3541.24365234,10550.21777343,2399.69995117,411,409,392
154034,3541.24414062,10550.22949218,2398.00000000,421,410,395
156104,3541.24462890,10550.23632812,2397.00000000,405,405,390
159017,3541.24633789,10550.24414062,2396.19995117,389,398,389
162055,3541.24804687,10550.25195312,2394.69995117,394,398,388
164124,3541.24902343,10550.25878906,2393.69995117,402,408,393
167004,3541.25244140,10550.26953125,2392.19995117,385,399,389
169133,3541.25439453,10550.27636718,2390.40014648,374,391,388
172037,3541.25708007,10550.28710937,2388.69995117,402,402,390
174962,3541.25976562,10550.29785156,2387.10009765,399,396,385
177038,3541.26123046,10550.30468750,2386.00000000,390,403,393
180009,3541.26318359,10550.31250000,2384.40014648,390,399,387
182992,3541.26586914,10550.32226562,2383.69995117,393,398,387
185104,3541.26684570,10550.32812500,2383.19995117,401,399,386
187993,3541.26708984,10550.33593750,2382.50000000,384,397,384
190106,3541.26782226,10550.34179687,2382.60009765,413,408,393
193011,3541.26928710,10550.34960937,2384.69995117,384,396,385
195981,3541.27050781,10550.35937500,2385.80004882,394,400,388
198047,3541.27001953,10550.36621093,2386.50000000,400,396,387
200961,3541.26831054,10550.37207031,2387.00000000,376,389,381
203056,3541.26733398,10550.37597656,2387.30004882,409,403,388
206027,3541.26635742,10550.38574218,2388.19995117,376,385,365
208104,3541.26684570,10550.39160156,2388.69995117,369,389,384
211009,3541.26538085,10550.40234375,2389.60009765,390,397,388
213958,3541.26245117,10550.41210937,2389.69995117,403,409,393
216029,3541.25927734,10550.41796875,2389.90014648,413,407,393
218950,3541.25488281,10550.42773437,2389.90014648,544,504,475
221024,3541.25317382,10550.43457031,2390.00000000,348,370,366
223946,3541.25073242,10550.44531250,2389.60009765,421,450,440
226070,3541.24902343,10550.45214843,2390.00000000,387,407,394
228951,3541.24633789,10550.46191406,2390.10009765,400,400,388
231070,3541.24389648,10550.46875000,2390.10009765,376,378,372
233930,3541.24072265,10550.47753906,2390.60009765,379,393,377
236921,3541.23876953,10550.48730468,2389.80004882,405,394,389
239932,3541.23632812,10550.49804687,2389.50000000,423,402,392
242953,3541.23291015,10550.50683593,2388.00000000,458,422,407
245992,3541.22875976,10550.51269531,2385.69995117,384,384,375
248962,3541.22290039,10550.51464843,2384.40014648,254,360,321
251973,3541.21801757,10550.52148437,2383.69995117,416,399,386
