273635,3541.30249023,10556.37890625
276635,3541.30175781,10556.37890625
279624,3541.30126953,10556.37988281
282629,3541.30102539,10556.38085937
285617,3541.30029296,10556.38183593
288630,3541.30004882,10556.38281250
291638,3541.29931640,10556.38183593
294643,3541.29931640,10556.38183593
296933,3541.29956054,10556.38085937
299974,3541.30029296,10556.38085937
302869,3541.30102539,10556.38476562
304921,3541.30126953,10556.38476562
307921,3541.30102539,10556.38671875
310983,3541.30053710,10556.38671875
313925,3541.30029296,10556.38671875
316928,3541.30004882,10556.38671875
319972,3541.29980468,10556.38671875
322924,3541.30029296,10556.38671875
325925,3541.29956054,10556.38671875
328923,3541.29956054,10556.38671875
331927,3541.29980468,10556.38574218
334940,3541.29980468,10556.38574218
337964,3541.29980468,10556.38671875
341088,3541.29980468,10556.38671875
344020,3541.29833984,10556.38769531
347013,3541.29882812,10556.38671875
349948,3541.29956054,10556.38574218
352966,3541.29956054,10556.38574218
355076,3541.30004882,10556.38476562
357953,3541.30004882,10556.38476562
360026,3541.30029296,10556.38476562
362945,3541.30078125,10556.38476562
365929,3541.30078125,10556.38476562
368927,3541.30151367,10556.38378906
371909,3541.30102539,10556.38378906
374962,3541.30004882,10556.38378906
377919,3541.29882812,10556.38281250
380630,3541.30639648,10556.36132812
383641,3541.30517578,10556.36230468
386641,3541.30517578,10556.36132812
389623,3541.30517578,10556.36132812
392621,3541.30517578,10556.36132812
395634,3541.30541992,10556.36132812
398621,3541.30541992,10556.36132812
401625,3541.30566406,10556.36132812
405019,3541.30566406,10556.36035156
407954,3541.30590820,10556.36035156
410912,3541.30615234,10556.36035156
413931,3541.30639648,10556.36035156
416832,3541.30639648,10556.36035156
419775,3541.30639648,10556.36035156
422788,3541.30639648,10556.36035156
425882,3541.30346679,10556.35449218
428861,3541.30688476,10556.35449218
431877,3541.31323242,10556.35253906
434856,3541.31616210,10556.35156250
437883,3541.31689453,10556.35156250
440889,3541.31689453,10556.35156250
443884,3541.31665039,10556.35156250
446623,3541.31665039,10556.35156250
449622,3541.31640625,10556.35156250
452610,3541.31738281,10556.34960937
455623,3541.31738281,10556.34960937
458607,3541.31738281,10556.34960937
461606,3541.31738281,10556.34863281
464607,3541.31787109,10556.34765625
467620,3541.31835937,10556.34765625
470887,3541.31933593,10556.34765625
473877,3541.31958007,10556.34765625
476867,3541.31958007,10556.34765625
479869,3541.31933593,10556.34863281
482888,3541.31567382,10556.35058593
485858,3541.31396484,10556.35156250
488933,3541.31372070,10556.35351562
491925,3541.31347656,10556.35546875
494886,3541.31323242,10556.35742187
497869,3541.31225585,10556.35742187
500893,3541.31176757,10556.35839843
503877,3541.31103515,10556.35937500
506915,3541.31127929,10556.35937500
509953,3541.31201171,10556.35937500
512979,3541.31176757,10556.35937500
515914,3541.31152343,10556.36035156
518894,3541.31127929,10556.36035156
521902,3541.31127929,10556.36035156
524919,3541.31127929,10556.36035156
527894,3541.31103515,10556.36035156
530896,3541.31127929,10556.36035156
533950,3541.31176757,10556.36035156
536902,3541.31298828,10556.35937500
539927,3541.31420898,10556.35937500
542889,3541.31469726,10556.35839843
545924,3541.31396484,10556.35839843
548900,3541.31347656,10556.35839843
551892,3541.31347656,10556.35839843
554896,3541.31347656,10556.35742187
557900,3541.31372070,10556.35742187
560629,3541.31372070,10556.35742187
563620,3541.31347656,10556.35742187
566621,3541.31347656,10556.35644531
569620,3541.31347656,10556.35644531
572624,3541.31323242,10556.35644531
575620,3541.31298828,10556.35644531
578621,3541.31250000,10556.35644531
581630,3541.31201171,10556.35644531
584951,3541.31152343,10556.35644531
587950,3541.31079101,10556.35644531
590929,3541.30957031,10556.35449218
593923,3541.30981445,10556.35546875
596923,3541.30981445,10556.35546875
599921,3541.30981445,10556.35546875
602913,3541.30957031,10556.35546875
604984,3541.30932617,10556.35546875
607925,3541.30932617,10556.35546875
610918,3541.30908203,10556.35546875
613953,3541.30908203,10556.35546875
616933,3541.30883789,10556.35644531
619880,3541.30859375,10556.35644531
622945,3541.30883789,10556.35644531
625933,3541.30883789,10556.35742187
628891,3541.30908203,10556.35742187
631907,3541.30957031,10556.35742187
634945,3541.30981445,10556.35742187
637929,3541.31030273,10556.35742187
640968,3541.31176757,10556.35742187
643965,3541.31079101,10556.35839843
646952,3541.31152343,10556.35839843
649947,3541.31274414,10556.35839843
651998,3541.31372070,10556.35839843
654950,3541.31323242,10556.35839843
657941,3541.31347656,10556.35742187
660927,3541.31372070,10556.35742187
663936,3541.31396484,10556.35742187
666953,3541.31396484,10556.35742187
669979,3541.31396484,10556.35839843
672933,3541.31396484,10556.35839843
675947,3541.31396484,10556.35839843
678904,3541.31396484,10556.35839843
681913,3541.31396484,10556.35839843
684935,3541.31372070,10556.35839843
687967,3541.31372070,10556.35839843
691083,3541.31347656,10556.35839843
694006,3541.31323242,10556.35839843
697015,3541.31323242,10556.35839843
700034,3541.31347656,10556.35839843
702942,3541.31372070,10556.35839843
705950,3541.31396484,10556.35839843
709047,3541.31420898,10556.35839843
711973,3541.31445312,10556.35839843
715014,3541.31469726,10556.35839843
717992,3541.31469726,10556.35839843
721062,3541.31494140,10556.35839843
723990,3541.31494140,10556.35839843
726938,3541.31494140,10556.35839843
730050,3541.31542968,10556.35839843
732944,3541.31542968,10556.35839843
735937,3541.31542968,10556.35839843
738960,3541.31494140,10556.35644531
741946,3541.31420898,10556.35644531
744968,3541.31396484,10556.35546875
747934,3541.31420898,10556.35546875
750968,3541.31420898,10556.35546875
753943,3541.31445312,10556.35546875
756962,3541.31469726,10556.35546875
